,hex_id,res,ndmi_diff,ndmi_diff_cat,im_2020,imn_2020,Grado_Marg,city,geometry,ndmi_diff_opossite
14248,8a481b4864cffff,10,0.16144444677564831,10%_mins,125.6555986751217,0.9815744106883382,Muy bajo,Chihuahua,"POLYGON ((-106.08511172661582 28.65843568635863, -106.08442733202395 28.65888078974037, -106.0845267884316 28.65962331955729, -106.08531064847887 28.65992074575954, -106.08599504633662 28.65947563927823, -106.08589558088127 28.65873310969429, -106.08511172661582 28.65843568635863))",0.6679307506930443
21695,8a481b4867a7fff,10,0.16229765454276662,10%_mins,125.86287973823914,0.9831936126124567,Muy bajo,Chihuahua,"POLYGON ((-106.08804821260856 28.658140294268623, -106.08736382840162 28.658585413532553, -106.08746330290454 28.659327942883053, -106.08824717066183 28.659625352735794, -106.08893155813338 28.65918023037197, -106.08883207458307 28.658437701255355, -106.08804821260856 28.658140294268623))",0.6670775429259259
18234,8a481b495b67fff,10,0.16425808649214488,10%_mins,125.61986873675039,0.9812953227051014,Muy bajo,Chihuahua,"POLYGON ((-106.0845267884316 28.65962331955729, -106.08384238538208 28.660068418096845, -106.0839418391136 28.66081094593798, -106.08472570494261 28.661108375006844, -106.08541011125833 28.660663273367902, -106.08531064847887 28.65992074575954, -106.0845267884316 28.65962331955729))",0.6651171109765477
16501,8a481b495257fff,10,0.16437524780631066,10%_mins,124.81591672033434,0.9750151466692527,Muy bajo,Chihuahua,"POLYGON ((-106.07809173353246 28.672686834461928, -106.07740723744519 28.673131879692455, -106.07750666172991 28.673874385756516, -106.07829059115238 28.674171846359602, -106.07897509050927 28.67372679803172, -106.07887565717412 28.67298429219815, -106.07809173353246 28.672686834461928))",0.664999949662382
16493,8a481b4952c7fff,10,0.16653206656056066,10%_mins,124.81591672033434,0.9750151466692527,Muy bajo,Chihuahua,"POLYGON ((-106.07603823162427 28.67402195735554, -106.07535372189092 28.674466989787653, -106.075453134447 28.67520949409786, -106.0762370657873 28.675506965746173, -106.07692157879123 28.67506193021705, -106.07682215718434 28.674319426136684, -106.07603823162427 28.67402195735554))",0.662843130908132
14260,8a481b48642ffff,10,0.16727556791461878,10%_mins,125.6555986751217,0.9815744106883382,Muy bajo,Chihuahua,"POLYGON ((-106.08598317997378 28.65383278811222, -106.08529881401977 28.65427790291629, -106.08539827208362 28.655020440863066, -106.08618210514848 28.65531786377249, -106.08686647436775 28.654872745868285, -106.08676700725695 28.654130208154847, -106.08598317997378 28.65383278811222))",0.6620996295540738
6137,8a481b486797fff,10,0.16772824998885869,10%_mins,125.86287973823914,0.9831936126124567,Muy bajo,Chihuahua,"POLYGON ((-106.08599504633662 28.65947563927823, -106.08531064847887 28.65992074575954, -106.08541011125833 28.660663273367902, -106.08619398094334 28.660960694261796, -106.08687838206666 28.660515584680933, -106.08677891023943 28.659773057305788, -106.08599504633662 28.65947563927823))",0.6616469474798339
16478,8a481b49525ffff,10,0.16906574637659136,10%_mins,124.81591672033434,0.9750151466692527,Muy bajo,Chihuahua,"POLYGON ((-106.07897509050927 28.67372679803172, -106.07829059115238 28.674171846359602, -106.07839002180994 28.674914350209686, -106.07917396087494 28.675211805501174, -106.07985846350117 28.674766754075954, -106.0797590237931 28.674024250456625, -106.07897509050927 28.67372679803172))",0.6603094510921013
20395,8a481b485407fff,10,0.1702322218153212,10%_mins,125.64136533775137,0.981463259462053,Muy bajo,Chihuahua,"POLYGON ((-106.13180961361734 28.65711711606827, -106.13112536543329 28.6575624668577, -106.13122511233088 28.6583049828355, -106.13200911645608 28.65860214777645, -106.13269336788606 28.658156793882494, -106.13259361194497 28.657414278152167, -106.13180961361734 28.65711711606827))",0.6591429756533714
4152,8a481b4b156ffff,10,0.17075674416588954,10%_mins,124.5650353627958,0.9730553627583535,Muy bajo,Chihuahua,"POLYGON ((-106.09150894316511 28.628441825412636, -106.09082473727898 28.628887006875015, -106.09092420896306 28.629629589251127, -106.09170789557598 28.62992698992931, -106.09239210472364 28.62948180536357, -106.09229262399691 28.628739223223057, -106.09150894316511 28.628441825412636))",0.658618453302803
16463,8a481b4952effff,10,0.17533024698495867,10%_mins,124.81591672033434,0.9750151466692527,Muy bajo,Chihuahua,"POLYGON ((-106.07750666172991 28.673874385756516, -106.07682215718434 28.674319426136684, -106.07692157879123 28.67506193021705, -106.07770551399442 28.67535939368702, -106.07839002180994 28.674914350209686, -106.07829059115238 28.674171846359602, -106.07750666172991 28.673874385756516))",0.6540449504837339
14266,8a481b4864effff,10,0.1777984776804524,10%_mins,125.6555986751217,0.9815744106883382,Muy bajo,Chihuahua,"POLYGON ((-106.08569665366646 28.657248046343348, -106.08501226753218 28.657693154566598, -106.08511172661582 28.65843568635863, -106.08589558088127 28.65873310969429, -106.08657997028112 28.658287998371293, -106.08648050215 28.657545466812437, -106.08569665366646 28.657248046343348))",0.6515767197882402
12251,8a481b48446ffff,10,0.17840997813239928,10%_mins,125.3329348410338,0.9790538809390603,Muy bajo,Chihuahua,"POLYGON ((-106.11386535496484 28.645380630826583, -106.11318111970543 28.645825904706125, -106.11328074490474 28.646568448462993, -106.1140646144068 28.646865718098194, -106.11474885291918 28.646420441114742, -106.11464921867656 28.64567789760005, -106.11386535496484 28.645380630826583))",0.6509652193362934
14250,8a481b48654ffff,10,0.17870645292343634,10%_mins,125.6555986751217,0.9815744106883382,Muy bajo,Chihuahua,"POLYGON ((-106.08891955472491 28.653537366597764, -106.08823519915612 28.653982497280698, -106.08833467531369 28.654725034760325, -106.08911851608676 28.65502244132282, -106.08980287491956 28.65457730753942, -106.08970338971532 28.653834770294047, -106.08891955472491 28.653537366597764))",0.6506687445452563
