,hex_id,res,ndmi_diff,ndmi_diff_cat,im_2020,imn_2020,Grado_Marg,city,geometry,ndmi_diff_opossite
8465,8a49ab480a4ffff,10,0.04563971598943074,10%_mins,124.50576006093992,0.9725923159243854,Muy bajo,Guadalajara,"POLYGON ((-103.46981874279868 20.78571959198091, -103.4691700729346 20.786157154707173, -103.46924798571253 20.786899622634074, -103.46997457647996 20.7872045282378, -103.47062325018112 20.786766961839128, -103.4705453292778 20.786024493509185, -103.46981874279868 20.78571959198091))",0.7028886098710317
54566,8a49ab5a6857fff,10,0.048163274923960366,10%_mins,125.37243797952075,0.9793624712169956,Muy bajo,Guadalajara,"POLYGON ((-103.48556788772669 20.539019233971338, -103.48492048859325 20.539456804914302, -103.48499834593537 20.540198820976787, -103.48572361050465 20.540503266486546, -103.48637101345491 20.540065691841292, -103.48629314801909 20.539323675388616, -103.48556788772669 20.539019233971338))",0.7003650509365021
46328,8a49aa251b97fff,10,0.04836844076712927,10%_mins,119.05592913118372,0.9300202740456267,Medio,Guadalajara,"POLYGON ((-103.44825332649789 20.46731470894052, -103.44760622091238 20.4677521012382, -103.44768381281158 20.468493960920213, -103.4484085183824 20.468798428704574, -103.44905562779368 20.468361032701313, -103.44897802780842 20.46761917261932, -103.44825332649789 20.46731470894052))",0.7001598850933332
3248,8a49ab413527fff,10,0.04866835071194557,10%_mins,124.4658041517861,0.9722802131522781,Muy bajo,Guadalajara,"POLYGON ((-103.54066012292198 20.739493956042097, -103.54001181438868 20.73993181257264, -103.54009012163783 20.740674229153147, -103.54081674553713 20.740978789581856, -103.54146505787952 20.740540929364624, -103.54138674251351 20.739798512405432, -103.54066012292198 20.739493956042097))",0.6998599751485169
38911,8a498c96b0cffff,10,0.051122088432312,10%_mins,124.2827113719071,0.9708499420567208,Muy bajo,Guadalajara,"POLYGON ((-103.37573763702966 20.70929350718291, -103.37508918516586 20.709730649835453, -103.37516649050247 20.710472933225113, -103.37589225582205 20.710778074393357, -103.37654071155178 20.710340928071844, -103.376463398096 20.70959864425111, -103.37573763702966 20.70929350718291))",0.6974062374281504
15251,8a498c969a6ffff,10,0.052053946833456724,10%_mins,125.30936479004599,0.9788697805303843,Muy bajo,Guadalajara,"POLYGON ((-103.41248251635695 20.69563822879663, -103.41183419827969 20.69607552623699, -103.41191171458844 20.696817802313863, -103.41263755709056 20.697122781369195, -103.41328587901988 20.6966854802536, -103.41320835459501 20.695943203757956, -103.41248251635695 20.69563822879663))",0.6964743790270057
55467,8a49aa25b24ffff,10,0.05221589936150445,10%_mins,120.08636177605948,0.9380696336086642,Medio,Guadalajara,"POLYGON ((-103.4685264779278 20.541795495955128, -103.46787903423872 20.54223299515615, -103.46795679177062 20.542975008491585, -103.46868200108632 20.54327952302183, -103.46932944859844 20.542842020121018, -103.46925168297184 20.542100006389802, -103.4685264779278 20.541795495955128))",0.696312426498958
39061,8a498c96d767fff,10,0.05234792951553588,10%_mins,125.3329089669551,0.9790536929810285,Muy bajo,Guadalajara,"POLYGON ((-103.40077233722747 20.676523382920276, -103.40012409472001 20.67696062592524, -103.40020152967773 20.67770286091359, -103.40092721525704 20.678007853318995, -103.40157546161961 20.677570606638145, -103.40149801854776 20.676828371227835, -103.40077233722747 20.676523382920276))",0.6961803963449266
15239,8a498c969af7fff,10,0.05234977881113689,10%_mins,125.30936479004599,0.9788697805303843,Muy bajo,Guadalajara,"POLYGON ((-103.40698592258504 20.696167429069988, -103.40633759209261 20.69660470305026, -103.4064150759362 20.697346977447577, -103.4071408983886 20.69765197828524, -103.40778923273508 20.6972147006305, -103.40771174077511 20.696472425812622, -103.40698592258504 20.696167429069988))",0.6961785470493256
50518,8a49ab5a6727fff,10,0.05255576508944152,10%_mins,126.06234302224559,0.9847517674085354,Muy bajo,Guadalajara,"POLYGON ((-103.47689305616218 20.548855116976032, -103.47624559198279 20.54929265368789, -103.47632340360829 20.55003468449605, -103.47704868750849 20.55033917898572, -103.47769615550837 20.549901638573797, -103.47761833578761 20.549159607372324, -103.47689305616218 20.548855116976032))",0.695972560771021
13297,8a49ab48171ffff,10,0.05290445265222768,10%_mins,123.99736966477928,0.9686209648761214,Muy bajo,Guadalajara,"POLYGON ((-103.47306443674492 20.8034065328093, -103.47241568348687 20.80384411308268, -103.47249362635084 20.804586614401117, -103.4732203306004 20.80489153584878, -103.47386908769543 20.80445395190457, -103.47379113670395 20.803711450183584, -103.47306443674492 20.8034065328093))",0.6956238732082348
38391,8a498c96b737fff,10,0.053462526533338744,10%_mins,124.89396169944887,0.975624804346003,Muy bajo,Guadalajara,"POLYGON ((-103.37081199883535 20.708642038701488, -103.37016354158582 20.7090791600583, -103.3702408171443 20.709821439826268, -103.37096655807161 20.710126598670115, -103.3716150191888 20.7096894736449, -103.37153773551104 20.708947193444285, -103.37081199883535 20.708642038701488))",0.6950657993271238
9208,8a498c96939ffff,10,0.05379066149393717,10%_mins,126.07053768983019,0.9848157807065423,Muy bajo,Guadalajara,"POLYGON ((-103.40057991820856 20.701282326830384, -103.39993155058987 20.70171957443687, -103.40000899930348 20.702461855176576, -103.40073482375308 20.70276688873265, -103.40138319522842 20.7023296374531, -103.40130573839755 20.70158735629059, -103.40057991820856 20.701282326830384))",0.6947376643665253
