,hex_id,res,ndmi_diff,ndmi_diff_cat,im_2020,imn_2020,Grado_Marg,city,geometry,ndmi_diff_opossite
13519,8a498ed2d057fff,10,0.05075933774312336,10%_mins,123.51469789982295,0.9648505121466572,Bajo,Leon,"POLYGON ((-101.64530815010494 21.107702679851354, -101.64465518307756 21.108132158425057, -101.64472233556243 21.10887396751212, -101.64544246328538 21.109186299026792, -101.6460954348068 21.108756817065203, -101.64602827411126 21.10801500697688, -101.64530815010494 21.107702679851354))",0.7491251627604165
14723,8a498ed28acffff,10,0.055925285007994055,10%_mins,121.75921719172791,0.9511373572220561,Bajo,Leon,"POLYGON ((-101.63042331186881 21.119063538235512, -101.62977027023858 21.11949294661943, -101.62983733900009 21.12023476203739, -101.63055745760411 21.120547170077852, -101.63121050373427 21.12011775830948, -101.63114342676047 21.119375941885146, -101.63042331186881 21.119063538235512))",0.7439592154955458
19702,8a498ed2d7a7fff,10,0.05907381754072886,10%_mins,122.4395748432654,0.9564520557833556,Bajo,Leon,"POLYGON ((-101.63727102260731 21.110630795882827, -101.63661803164477 21.111060237202707, -101.6366851372445 21.111802044249583, -101.63740524201789 21.112114410980546, -101.63805823747742 21.111684966274264, -101.63799112366658 21.110943158223467, -101.63727102260731 21.110630795882827))",0.740810682962811
14717,8a498ed28aeffff,10,0.06580747385494046,10%_mins,121.75921719172791,0.9511373572220561,Bajo,Leon,"POLYGON ((-101.63100927519149 21.117892313004784, -101.6303562401904 21.118321724298433, -101.63042331186881 21.119063538235512, -101.63114342676047 21.119375941885146, -101.63179646626122 21.11894652720683, -101.63172938637068 21.118204712263598, -101.63100927519149 21.117892313004784))",0.7340770266485994
3050,8a498ed28367fff,10,0.06892161291153703,10%_mins,124.54050866181464,0.9728637500997488,Muy bajo,Leon,"POLYGON ((-101.62983733900009 21.12023476203739, -101.62918429074077 21.12066416751091, -101.62925135658526 21.121405984409076, -101.62997147890151 21.121718396840368, -101.63062453166103 21.12128898798262, -101.63055745760411 21.120547170077852, -101.62983733900009 21.12023476203739))",0.7309628875920029
19970,8a49816de657fff,10,0.06972023109594981,10%_mins,121.48755139948285,0.94901519552532,Bajo,Leon,"POLYGON ((-101.66453175212966 21.106061418161765, -101.6638788150959 21.10649098475228, -101.66394608252723 21.107232807816455, -101.66466629520255 21.107545065285205, -101.66531923672369 21.10711549530386, -101.66525196108213 21.106373671244654, -101.66453175212966 21.106061418161765))",0.73016426940759
9840,8a498ed73b8ffff,10,0.07054591784401545,10%_mins,120.80113678965601,0.9436531822847426,Medio,Leon,"POLYGON ((-101.66375945316939 21.189114811833022, -101.66310609143251 21.189544358160642, -101.6631733978705 21.190286320895243, -101.66389407426627 21.190598738300114, -101.66454744049662 21.190169188591348, -101.66448012583774 21.1894272248589, -101.66375945316939 21.189114811833022))",0.7293385826595244
8992,8a498ed7526ffff,10,0.07102573712666829,10%_mins,123.58435095905469,0.9653945833098712,Bajo,Leon,"POLYGON ((-101.69216711016698 21.166501967234176, -101.69151389610137 21.16693164811663, -101.69158136184933 21.16767359755378, -101.69230204988058 21.167985867096565, -101.69295526842836 21.167556182826285, -101.69288779446273 21.166814232401105, -101.69216711016698 21.166501967234176))",0.7288587633768716
19677,8a498ed2d787fff,10,0.07109774774120702,10%_mins,122.4395748432654,0.9564520557833556,Bajo,Leon,"POLYGON ((-101.6366851372445 21.111802044249583, -101.63603213965222 21.112231482664722, -101.63609924233606 21.11297329119695, -101.63681935082346 21.113285662318244, -101.63747235291301 21.11285622051692, -101.63740524201789 21.112114410980546, -101.6366851372445 21.111802044249583))",0.7287867527623328
13492,8a498ed2d00ffff,10,0.07155582745869954,10%_mins,123.51469789982295,0.9648505121466572,Bajo,Leon,"POLYGON ((-101.64452088048881 21.106648544229333, -101.64386791795567 21.107078019415134, -101.64393506514477 21.107819826012232, -101.64465518307756 21.108132158425057, -101.64530815010494 21.107702679851354, -101.6452409947053 21.10696087225278, -101.64452088048881 21.106648544229333))",0.7283286730448404
