,hex_id,res,ndmi_diff,ndmi_diff_cat,im_2020,imn_2020,Grado_Marg,city,geometry,ndmi_diff_opossite
11518,8a4509b03437fff,10,0.08069077709264923,10%_mins,124.37437213438305,0.9715659690009066,Muy bajo,Merida,"POLYGON ((-89.63350409167792 20.99189694524129, -89.63286528417325 20.992265141306124, -89.63286069120782 20.992979908459382, -89.63349491308173 20.99332648404861, -89.63413372819826 20.992958286732456, -89.63413831382897 20.99224351507843, -89.63350409167792 20.99189694524129))",0.6199131556919644
4846,8a4509b18737fff,10,0.08269348311842535,10%_mins,124.80451971043854,0.9749261316063829,Muy bajo,Merida,"POLYGON ((-89.61163857715607 21.026570048787818, -89.6109996628361 21.026938049777854, -89.61099494258812 21.027652808491545, -89.61162914399576 21.027999570722642, -89.6122680659355 21.02763156849045, -89.6122727788478 21.026916805269327, -89.61163857715607 21.026570048787818))",0.6179104496661882
13613,8a4509b18067fff,10,0.08279703580416166,10%_mins,125.8557490029534,0.9831379256939405,Muy bajo,Merida,"POLYGON ((-89.61929155005748 21.02429803944943, -89.61865262190803 21.0246660878222, -89.61864794583906 21.02538086933237, -89.61928220525603 21.025727606975252, -89.61992114102371 21.02535955735846, -89.61992580975615 21.024644771342828, -89.61929155005748 21.02429803944943))",0.617806896980452
11522,8a4509b035affff,10,0.08344288921356201,10%_mins,124.37437213438305,0.9715659690009066,Muy bajo,Merida,"POLYGON ((-89.63287446994475 20.99083561127485, -89.63223567005191 20.991203806088347, -89.63223107349891 20.991918568853528, -89.63286528417325 20.992265141306124, -89.63350409167792 20.99189694524129, -89.63350868089638 20.99118217797523, -89.63287446994475 20.99083561127485))",0.6171610435710516
9470,8a4509b1e30ffff,10,0.08355632264699255,10%_mins,125.59037726028286,0.9810649600530583,Muy bajo,Merida,"POLYGON ((-89.60408586543733 21.01383239825691, -89.60344704255233 21.01420038433967, -89.60344227928631 21.01491509051839, -89.60407634623824 21.01526181512321, -89.60471517674267 21.014893827798083, -89.60471993267568 21.014179117110533, -89.60408586543733 21.01383239825691))",0.6170476101376211
11523,8a4509b0359ffff,10,0.08447384553797105,10%_mins,124.37437213438305,0.9715659690009066,Muy bajo,Merida,"POLYGON ((-89.63095807093939 20.991940182734368, -89.63031927172003 20.99230836456665, -89.63031466408566 20.99302312271744, -89.63094886300497 20.993369703537354, -89.63158766983663 20.99300152045427, -89.63159227013661 20.99228675780208, -89.63095807093939 20.991940182734368))",0.6161300872466426
4475,8a4509b1da2ffff,10,0.08579743117616888,10%_mins,123.5860923493859,0.9654082290119224,Bajo,Merida,"POLYGON ((-89.64863295931072 21.0152266024202, -89.64799398020192 21.01559483313197, -89.64798947354528 21.016309701187307, -89.6486239533372 21.016656343028764, -89.64926294005822 21.016288111065794, -89.6492674393751 21.015573238512587, -89.64863295931072 21.0152266024202))",0.6148065016084447
19796,8a4509b00277fff,10,0.08589176861745007,10%_mins,122.13123301351192,0.9540434394433865,Bajo,Merida,"POLYGON ((-89.65395499122029 20.978682755758115, -89.6533161840135 20.9790510932968, -89.65331170935795 20.979765906733025, -89.65394604924529 20.98011238712581, -89.6545848640589 20.979744048329867, -89.6545893313783 20.979029230398414, -89.65395499122029 20.978682755758115))",0.6147121641671636
19799,8a4509b00267fff,10,0.0860316949231284,10%_mins,122.13123301351192,0.9540434394433865,Bajo,Merida,"POLYGON ((-89.65522814271672 20.978660885746425, -89.6545893313783 20.979029230398414, -89.6545848640589 20.979744048329867, -89.65521921541425 20.980090526104263, -89.6558580343593 20.979722180194752, -89.65586249434233 20.979007357768385, -89.65522814271672 20.978660885746425))",0.6145722378614853
9619,8a4509b1e38ffff,10,0.08630669744391191,10%_mins,125.59037726028286,0.9810649600530583,Muy bajo,Merida,"POLYGON ((-89.60089653131581 21.014957586757628, -89.60025771328388 21.015325552718288, -89.60025293160317 21.016040249749803, -89.60088697528698 21.01638698533034, -89.60152580093899 21.016019018128112, -89.60153057528704 21.01530431658694, -89.60089653131581 21.014957586757628))",0.6142972353407017
18339,8a4509b0628ffff,10,0.08789369051273052,10%_mins,122.74696143140082,0.9588532138154209,Bajo,Merida,"POLYGON ((-89.63176704211416 20.965126834926348, -89.63112837931054 20.965495077910443, -89.63112377733975 20.966209784726257, -89.63175784550388 20.966556253058215, -89.63239651591635 20.966188008819504, -89.63240111055582 20.965473297503475, -89.63176704211416 20.965126834926348))",0.6127102422718831
13933,8a4509b1801ffff,10,0.08841480874178702,10%_mins,125.8557490029534,0.9831379256939405,Muy bajo,Merida,"POLYGON ((-89.61547206789065 21.024361951806842, -89.61483315219584 21.024729978807958, -89.61482845411844 21.025444746799863, -89.6154626790718 21.025791492297095, -89.61610160238546 21.025423464052746, -89.61610629312689 21.024708691554434, -89.61547206789065 21.024361951806842))",0.6121891240428267
4562,8a4509b18767fff,10,0.08934718881334577,10%_mins,124.80451971043854,0.9749261316063829,Muy bajo,Merida,"POLYGON ((-89.61544390078231 21.028650590249786, -89.6148049629162 21.029018607973914, -89.61480026451267 21.029733384450093, -89.61543451131168 21.030080147708734, -89.61607345679718 21.029712128741952, -89.61607814786424 21.028997347759216, -89.61544390078231 21.028650590249786))",0.6112567439712678
8379,8a4509b03937fff,10,0.08936693961160226,10%_mins,123.71782527836218,0.9664372624637546,Muy bajo,Merida,"POLYGON ((-89.64757594467581 20.980936341608114, -89.64693714705477 20.981304638978482, -89.64693263556454 20.982019434220238, -89.64756692903082 20.982365936588554, -89.64820573426002 20.981997637962525, -89.64821023841473 20.981282838223876, -89.64757594467581 20.980936341608114))",0.6112369931730114
11763,8a4509b022d7fff,10,0.08968819359253194,10%_mins,123.93930801650116,0.9681674008457708,Muy bajo,Merida,"POLYGON ((-89.62779643246164 20.98877782454558, -89.6271576602231 20.989145995509897, -89.6271530344944 20.989860735992096, -89.6277871883377 20.99020731001206, -89.62842596818864 20.98983913779715, -89.62843058658383 20.98912439281289, -89.62779643246164 20.98877782454558))",0.6109157391920816
23827,8a4509b18c6ffff,10,0.0912767291069031,10%_mins,123.69571081212712,0.9662645190214997,Bajo,Merida,"POLYGON ((-89.61551431488725 21.017929089665067, -89.61487543244648 21.018297130573355, -89.61487073485827 21.019011885824135, -89.61550492704592 21.019358604672785, -89.61614381710473 21.01899056252037, -89.61614850735776 21.01827580276344, -89.61551431488725 21.017929089665067))",0.6093272036777105
19790,8a4509b002effff,10,0.09179292206178633,10%_mins,122.13123301351192,0.9540434394433865,Bajo,Merida,"POLYGON ((-89.65266842027505 20.980849051747537, -89.65202960611875 20.981217377573085, -89.65202512397164 20.9819321908005, -89.65265946331705 20.982278682698016, -89.65329828508068 20.981910355615764, -89.65330275989153 20.981195537892727, -89.65266842027505 20.980849051747537))",0.6088110107228273
4424,8a4509b1c927fff,10,0.09272055391754422,10%_mins,124.28006359536622,0.9708292674382566,Muy bajo,Merida,"POLYGON ((-89.62652351757879 20.988799424629228, -89.625884749485 20.989167588478075, -89.62588011642295 20.989882324457902, -89.62651425878798 20.990228901091275, -89.6271530344944 20.989860735992096, -89.6271576602231 20.989145995509897, -89.62652351757879 20.988799424629228))",0.6078833788670694
17417,8a4509b18a97fff,10,0.09294684955051968,10%_mins,124.92569563756504,0.9758726837264055,Muy bajo,Merida,"POLYGON ((-89.62056474205602 21.024276715846145, -89.61992580975615 21.024644771342828, -89.61992114102371 21.02535955735846, -89.62055541192775 21.025706292382576, -89.62119435184562 21.025338235641616, -89.62119901324137 21.02462344512084, -89.62056474205602 21.024276715846145))",0.607657083234094
20176,8a4509b0076ffff,10,0.09296400874268776,10%_mins,122.13123301351192,0.9540434394433865,Bajo,Merida,"POLYGON ((-89.64760299035942 20.976647590962784, -89.64696421490028 20.977015897535832, -89.64695970372314 20.977730684202818, -89.6475939753401 20.978077168793487, -89.64823275840686 20.977708860964185, -89.648237262249 20.976994069800487, -89.64760299035942 20.976647590962784))",0.6076399240419259
9487,8a4509b1e327fff,10,0.09333532923146298,10%_mins,125.59037726028286,0.9810649600530583,Muy bajo,Merida,"POLYGON ((-89.60410014382302 21.011688283592715, -89.60346133201982 21.012056274311405, -89.6034565689191 21.01277097623596, -89.60409062495428 21.013117691950594, -89.60472944437664 21.01274969998924, -89.6047342001446 21.012034993555936, -89.60410014382302 21.011688283592715))",0.6072686035531507
4553,8a4509b18627fff,10,0.09351017160235711,10%_mins,124.80451971043854,0.9749261316063829,Muy bajo,Merida,"POLYGON ((-89.6122539268714 21.029775866636207, -89.61161499384602 21.030143864227526, -89.61161027702028 21.030858631555652, -89.61224450055603 21.03120540579988, -89.61288344120148 21.030837406966715, -89.61288815069108 21.030122635131196, -89.6122539268714 21.029775866636207))",0.6070937611822566
4558,8a4509b18717fff,10,0.09360593046460831,10%_mins,124.80451971043854,0.9749261316063829,Muy bajo,Merida,"POLYGON ((-89.61099494258812 21.027652808491545, -89.61035602480277 21.028020803599112, -89.61035130080506 21.02873556217964, -89.61098550192837 21.029082330160257, -89.61162442733374 21.0287143338108, -89.61162914399576 21.027999570722642, -89.61099494258812 21.027652808491545))",0.6069980023200053
4430,8a4509b0e4dffff,10,0.09369140717021204,10%_mins,123.5860923493859,0.9654082290119224,Bajo,Merida,"POLYGON ((-89.65056337326585 21.011977270170117, -89.64992440458389 21.012345518491937, -89.64991990917102 21.013060386910464, -89.65055438977974 21.01340701150447, -89.65119336607323 21.01303876193062, -89.65119785414643 21.012323889014812, -89.65056337326585 21.011977270170117))",0.6069125256144016
15415,8a4509b33747fff,10,0.09387654406683785,10%_mins,121.52555373484087,0.9493120604466434,Bajo,Merida,"POLYGON ((-89.61088948474692 20.947262242317368, -89.61025098446513 20.947630407127132, -89.61024626294699 20.948345003042004, -89.61088004903668 20.948691438651846, -89.61151855692856 20.94832327258925, -89.61152327112059 20.947608672169668, -89.61088948474692 20.947262242317368))",0.6067273887177758
13922,8a4509b1814ffff,10,0.09391058513096401,10%_mins,125.8557490029534,0.9831379256939405,Muy bajo,Merida,"POLYGON ((-89.61993514705904 21.023215203556543, -89.61929622237714 21.023583257808923, -89.61929155005748 21.02429803944943, -89.61992580975615 21.024644771342828, -89.62056474205602 21.024276715846145, -89.62056940703918 21.02356192970039, -89.61993514705904 21.023215203556543))",0.6066933476536496
8917,8a4509b1889ffff,10,0.0940195685938785,10%_mins,124.28185116728035,0.9708432102923719,Muy bajo,Merida,"POLYGON ((-89.61678739395018 21.017907754732796, -89.61614850735776 21.01827580276344, -89.61614381710473 21.01899056252037, -89.61677802077944 21.019337278752527, -89.6174169149897 21.018969229477506, -89.61742159790737 21.018254465214735, -89.61678739395018 21.017907754732796))",0.6065843641907351
9472,8a4509b1e32ffff,10,0.09410018920898439,10%_mins,125.59037726028286,0.9810649600530583,Muy bajo,Merida,"POLYGON ((-89.60472944437664 21.01274969998924, -89.60409062495428 21.013117691950594, -89.60408586543733 21.01383239825691, -89.60471993267568 21.014179117110533, -89.60535875971725 21.013811123906535, -89.6053635119012 21.01309641309158, -89.60472944437664 21.01274969998924))",0.6065037435756293
13956,8a4509b1805ffff,10,0.09556160569190979,10%_mins,125.8557490029534,0.9831379256939405,Muy bajo,Merida,"POLYGON ((-89.61800433440378 21.02646369320424, -89.61736539931951 21.02683172981621, -89.61736071575167 21.027546511063893, -89.61799497460461 21.02789326020548, -89.61863391730755 21.027525222350047, -89.61863859353883 21.026810436596516, -89.61800433440378 21.02646369320424))",0.6050423270927039
