,hex_id,res,ndmi_diff,ndmi_diff_cat,im_2020,imn_2020,Grado_Marg,city,geometry,ndmi_diff_opossite
29023,8a48a232d487fff,10,0.08773878027522375,10%_mins,121.27189218638291,0.9473305474335836,Bajo,Monterrey,"POLYGON ((-100.5959014241762 25.809562148069723, -100.59522257748522 25.80998215660339, -100.59528571612427 25.810726084817986, -100.59602771030646 25.81105000594452, -100.59670656221944 25.8106299947206, -100.59664341472826 25.809886065060457, -100.5959014241762 25.809562148069723))",0.5869528098184555
28714,8a48a2328867fff,10,0.08797089219093322,10%_mins,122.54278436323715,0.9572582890877658,Bajo,Monterrey,"POLYGON ((-100.59305976956729 25.809754303923906, -100.59238091953785 25.81017429667277, -100.5924440404726 25.810918221994925, -100.59318602028895 25.81124215601472, -100.59386487554143 25.810822160576077, -100.59380174575452 25.810078233807474, -100.59305976956729 25.809754303923906))",0.5867206979027461
25704,8a48a232884ffff,10,0.08838759501775106,10%_mins,120.95042671860304,0.9448193840331656,Medio,Monterrey,"POLYGON ((-100.59324914681333 25.811986081716395, -100.59257028466905 25.81240607195167, -100.59263340793079 25.81314999658574, -100.59337540218927 25.813473932431002, -100.59405426955672 25.813053939506165, -100.59399113744252 25.812310013425684, -100.59324914681333 25.811986081716395))",0.5863039950759282
28110,8a48a232d48ffff,10,0.0926343705919054,10%_mins,121.27189218638291,0.9473305474335836,Bajo,Monterrey,"POLYGON ((-100.59670656221944 25.8106299947206, -100.59602771030646 25.81105000594452, -100.59609085453545 25.81179393453815, -100.59683285952971 25.812117853353236, -100.59751171666451 25.811697839439066, -100.59744856358323 25.810953909400123, -100.59670656221944 25.8106299947206))",0.5820572195017739
25608,8a48a232c667fff,10,0.09549450495886425,10%_mins,123.21499947442487,0.9625093635861698,Bajo,Monterrey,"POLYGON ((-100.58742448699584 25.80227925340786, -100.5867456735331 25.802699227328375, -100.58680875534577 25.80344314997448, -100.58755065947224 25.80376710014823, -100.58822947815936 25.80334712353797, -100.58816638749563 25.802603199443755, -100.58742448699584 25.80227925340786))",0.579197085134815
27410,8a48a232d787fff,10,0.09825122683278976,10%_mins,120.34263345434945,0.9400715316221804,Medio,Monterrey,"POLYGON ((-100.60196387967571 25.813641269839557, -100.60128501544386 25.814061304920106, -100.60134819414931 25.814805237535417, -100.60209024593935 25.815129136513935, -100.60276911539138 25.81470909874265, -100.6027059278332 25.81396516468364, -100.60196387967571 25.813641269839557))",0.5764403632608895
28099,8a48a232d46ffff,10,0.10730541954275037,10%_mins,121.27189218638291,0.9473305474335836,Bajo,Monterrey,"POLYGON ((-100.60381087531987 25.81014932914236, -100.60313203177053 25.810569379826, -100.60319522026087 25.8113133156417, -100.60393726115282 25.811637202216883, -100.6046161099214 25.811217148841834, -100.60455291257881 25.810473211583055, -100.60381087531987 25.81014932914236))",0.5673861705509289
25824,8a48a232800ffff,10,0.10746497091699819,10%_mins,119.99262872161032,0.9373374505192971,Medio,Monterrey,"POLYGON ((-100.58590767284515 25.81809356641318, -100.58522877124543 25.81851350693472, -100.58529185163195 25.81925742187566, -100.58603384247155 25.819581397743914, -100.58671274929758 25.81916145453463, -100.5866496600577 25.818417538144875, -100.58590767284515 25.81809356641318))",0.567226619176681
25711,8a48a2328b6ffff,10,0.10863989248114117,10%_mins,120.95042671860304,0.9448193840331656,Medio,Monterrey,"POLYGON ((-100.59992727841264 25.81490136198599, -100.5992484056136 25.815321383970936, -100.59931157220424 25.81606531407375, -100.60005362044683 25.81638922363603, -100.6007324984669 25.81596919896081, -100.60066932302335 25.815225267413627, -100.59992727841264 25.81490136198599))",0.5660516976125382
25714,8a48a2328b17fff,10,0.10887875596682231,10%_mins,120.95042671860304,0.9448193840331656,Medio,Monterrey,"POLYGON ((-100.59405426955672 25.813053939506165, -100.59337540218927 25.813473932431002, -100.59343853104086 25.814217857443424, -100.5941805361125 25.814541790977245, -100.5948594087029 25.81412179536284, -100.59479627099869 25.813377868904233, -100.59405426955672 25.813053939506165))",0.565812834126857
30038,8a48a232d257fff,10,0.10916567519307135,10%_mins,121.62667946344033,0.9501020081982575,Bajo,Monterrey,"POLYGON ((-100.61655287353025 25.817142826907425, -100.61587400185331 25.81756293589389, -100.61593727375053 25.818306881537584, -100.61667942617798 25.81863071963403, -100.61735830307023 25.818210607954974, -100.61729502231972 25.81746666087211, -100.61655287353025 25.817142826907425))",0.565525914900608
28637,8a48a232ed9ffff,10,0.10956673699040567,10%_mins,122.02953492275384,0.9532489913144959,Bajo,Monterrey,"POLYGON ((-100.55461102833775 25.794393721372586, -100.55393223215869 25.794813529053492, -100.55399510438971 25.795557422027866, -100.55473678164964 25.7958815087797, -100.55541558306409 25.795461698413252, -100.55535270198324 25.794717803980568, -100.55461102833775 25.794393721372586))",0.5651248531032736
30030,8a48a232da17fff,10,0.11095305104409495,10%_mins,120.71724981737471,0.942997894153804,Medio,Monterrey,"POLYGON ((-100.61783007547406 25.806955067952007, -100.61715126082754 25.80737520004185, -100.61721453550736 25.808119150955513, -100.61795663368551 25.808442971218003, -100.618635453546 25.808022836434237, -100.61857217001437 25.807278884081953, -100.61783007547406 25.806955067952007))",0.5637385390495844
25627,8a48a232c297fff,10,0.11154414638876914,10%_mins,123.21499947442487,0.9625093635861698,Bajo,Monterrey,"POLYGON ((-100.58884519929316 25.80218321763235, -100.58816638749563 25.802603199443755, -100.58822947815936 25.80334712353797, -100.58897138947168 25.80367106726849, -100.5896502064931 25.803251082767108, -100.58958710697831 25.802507157225236, -100.58884519929316 25.80218321763235))",0.5631474437049102
29957,8a48a232c2f7fff,10,0.11178255242816473,10%_mins,121.51792685261864,0.9492524671429226,Bajo,Monterrey,"POLYGON ((-100.59249167971407 25.803058958222135, -100.59181286602667 25.803478958505156, -100.59187597998127 25.80422288587791, -100.59261791647448 25.804546814414213, -100.59329673538457 25.80412681144074, -100.59323361257877 25.803382882621463, -100.59249167971407 25.803058958222135))",0.5629090376655146
28717,8a48a2328847fff,10,0.1122657177811962,10%_mins,122.54278436323715,0.9572582890877658,Bajo,Monterrey,"POLYGON ((-100.5924440404726 25.810918221994925, -100.59176518355166 25.811338209540647, -100.59182830122373 25.812082133795663, -100.59257028466905 25.81240607195167, -100.59324914681333 25.811986081716395, -100.59318602028895 25.81124215601472, -100.5924440404726 25.810918221994925))",0.5624258723124831
28102,8a48a232d54ffff,10,0.11294764876365661,10%_mins,121.27189218638291,0.9473305474335836,Bajo,Monterrey,"POLYGON ((-100.60362130239416 25.807917517812317, -100.60294247095814 25.808337571004067, -100.60300565711917 25.809081507506924, -100.60374768356816 25.809405392261187, -100.6044265202233 25.808985336377816, -100.60436332521034 25.808241398431857, -100.60362130239416 25.807917517812317))",0.5617439413300227
28286,8a48a2329d07fff,10,0.11320545991261799,10%_mins,121.5415507461978,0.9494370113686371,Bajo,Monterrey,"POLYGON ((-100.60111156743184 25.82043278338272, -100.60043266518092 25.820852803029656, -100.60049584202049 25.8215967321156, -100.60123792996471 25.82192064299874, -100.6019168374367 25.821500620661965, -100.60185365174343 25.820756690131955, -100.60111156743184 25.82043278338272))",0.5614861301810613
28729,8a48a23288cffff,10,0.1134447231888771,10%_mins,122.54278436323715,0.9572582890877658,Bajo,Monterrey,"POLYGON ((-100.58979170122778 25.81334206772335, -100.589112828857 25.813762036966832, -100.58917593115063 25.814505957638037, -100.58991791466772 25.814829910513335, -100.590596792263 25.814409938580972, -100.59053368111671 25.813666016462246, -100.58979170122778 25.81334206772335))",0.5612468669048022
27419,8a48a2323677fff,10,0.11357233322272867,10%_mins,122.50810241699219,0.9569873809814453,Bajo,Monterrey,"POLYGON ((-100.54059501823927 25.797581900045415, -100.53991619353692 25.798001626263684, -100.53997897958371 25.798745503961502, -100.54072059918305 25.799069656903868, -100.54139942912603 25.798649928002586, -100.54133663422903 25.797906048842005, -100.54059501823927 25.797581900045415))",0.5611192568709507
27560,8a48a2ad3447fff,10,0.1143780995929052,10%_mins,122.87434672066216,0.9598483290752856,Bajo,Monterrey,"POLYGON ((-100.6053722192502 25.78647462777858, -100.6046935070552 25.78689472445315, -100.60475669321629 25.787638670977763, -100.60549860042124 25.787962522270092, -100.60617731783292 25.78754242290123, -100.60611412282296 25.786798474934383, -100.6053722192502 25.78647462777858))",0.5603134905007741
28742,8a48a232d497fff,10,0.11526283184687297,10%_mins,122.54278436323715,0.9572582890877658,Bajo,Monterrey,"POLYGON ((-100.59448059411515 25.80965823316611, -100.59380174575452 25.810078233807474, -100.59386487554143 25.810822160576077, -100.59460686254111 25.811146088149368, -100.59528571612427 25.810726084817986, -100.59522257748522 25.80998215660339, -100.59448059411515 25.80965823316611))",0.5594287582468063
