,hex_id,res,ndmi_diff,ndmi_diff_cat,im_2020,imn_2020,Grado_Marg,city,geometry,ndmi_diff_opossite
22906,8a4983d89d27fff,10,0.04264977415402729,10%_mins,125.81381717571259,0.9828103586339436,Muy bajo,Queretaro,"POLYGON ((-100.4413076814078 20.55804478881045, -100.44065644123735 20.558468874160592, -100.44071607262433 20.55920844125428, -100.44142695232509 20.55952392436597, -100.44207819735026 20.559099835742078, -100.44201855781995 20.55836026728028, -100.4413076814078 20.55804478881045))",0.7750381485621134
14705,8a4983ca4927fff,10,0.04449297937296205,10%_mins,124.63360525360991,0.9735909781598127,Muy bajo,Queretaro,"POLYGON ((-100.40441828721592 20.57661182420127, -100.40376692855524 20.577035734855126, -100.40382634663646 20.577775295687605, -100.40453713152381 20.578090947246704, -100.40518849505257 20.577667033326865, -100.4051290688259 20.576927471113944, -100.40441828721592 20.57661182420127))",0.7731949433431786
15186,8a4983cb5667fff,10,0.048179871753110726,10%_mins,125.2619400024414,0.9784993529319763,Muy bajo,Queretaro,"POLYGON ((-100.35218200717055 20.617594630790858, -100.35153040677064 20.618018289074936, -100.35158952946189 20.6187578691501, -100.35230026070333 20.619073792339616, -100.3529518659914 20.618650130802273, -100.35289273514987 20.61791054932872, -100.35218200717055 20.617594630790858))",0.7695080509630299
8872,8a4983cb54f7fff,10,0.049388477802276606,10%_mins,123.85736011684587,0.9675273045470206,Muy bajo,Queretaro,"POLYGON ((-100.34211427511872 20.611692474746267, -100.34146269845692 20.612116088215476, -100.34152175782646 20.612855644804267, -100.34223240200721 20.61317158932528, -100.34288398355997 20.61274797260365, -100.342824916041 20.61200841461348, -100.34211427511872 20.611692474746267))",0.768299444913864
7985,8a4983ca6237fff,10,0.050010762810707085,10%_mins,123.93109505640611,0.9681032570667634,Muy bajo,Queretaro,"POLYGON ((-100.38067270861922 20.605291025049464, -100.380021188842 20.605714818368522, -100.3800804773229 20.60645440787491, -100.38079129372996 20.606770205451213, -100.38144281838517 20.606346408873115, -100.38138352175534 20.605606817977797, -100.38067270861922 20.605291025049464))",0.7676771599054336
15205,8a4983cb5647fff,10,0.051325469906047236,10%_mins,125.2619400024414,0.9784993529319763,Muy bajo,Queretaro,"POLYGON ((-100.35158952946189 20.6187578691501, -100.35093792277095 20.619181524362457, -100.35099704243302 20.61992110601732, -100.35170777693645 20.620237033858487, -100.35235938851582 20.619813375393093, -100.35230026070333 20.619073792339616, -100.35158952946189 20.6187578691501))",0.7663624528100934
17767,8a4983ca010ffff,10,0.0522942058245341,10%_mins,125.60356636617762,0.9811679461749647,Muy bajo,Queretaro,"POLYGON ((-100.39755557184884 20.610650711899268, -100.3969040356259 20.611074581627477, -100.39696342819728 20.6118142014697, -100.39767436514131 20.612129952967514, -100.39832590623716 20.61170607997832, -100.39826650551606 20.610966458752344, -100.39755557184884 20.610650711899268))",0.7653937168916065
14703,8a4983ca48b7fff,10,0.05247920354207357,10%_mins,124.63360525360991,0.9735909781598127,Muy bajo,Queretaro,"POLYGON ((-100.3993261305425 20.581482146458583, -100.39867474382822 20.58190603233875, -100.39873413352903 20.582645596831767, -100.39944491809011 20.582961276826886, -100.4000963096745 20.582537387682077, -100.40003691182767 20.58179782180684, -100.3993261305425 20.581482146458583))",0.7652087191740671
8010,8a4983ca626ffff,10,0.0530033795038859,10%_mins,123.93109505640611,0.9681032570667634,Muy bajo,Queretaro,"POLYGON ((-100.3857078408599 20.608241138710614, -100.38505630929006 20.608664954441455, -100.38511562944028 20.609404555658177, -100.38582648930965 20.609720342531528, -100.38647802575603 20.609296523541218, -100.38641869745649 20.608556920937072, -100.3857078408599 20.608241138710614))",0.7646845432122548
8873,8a4983cb540ffff,10,0.05434392347174176,10%_mins,123.85736011684587,0.9675273045470206,Muy bajo,Queretaro,"POLYGON ((-100.34406898973256 20.610421615547963, -100.3434174207567 20.610845238412317, -100.34347649130532 20.61158479482016, -100.34418713897914 20.611900729764407, -100.34483871284526 20.61147710364719, -100.34477963414732 20.61073754583863, -100.34406898973256 20.610421615547963))",0.7633439992443989
9112,8a4983d8a067fff,10,0.054493590990702306,10%_mins,121.60187108870431,0.9499082269694853,Bajo,Queretaro,"POLYGON ((-100.40565920674337 20.566465466813874, -100.40500790047734 20.566889385886054, -100.40506732131821 20.56762892808648, -100.40577805656926 20.56794455259448, -100.4064293677022 20.567520630254943, -100.40636993871718 20.56678108667481, -100.40565920674337 20.566465466813874))",0.7631943317254384
12264,8a4983ca4337fff,10,0.05479236214847887,10%_mins,124.28306590253798,0.9708526932533958,Muy bajo,Queretaro,"POLYGON ((-100.4043039876092 20.592251151283655, -100.40365254933772 20.592675057191304, -100.4037119739862 20.593414648758152, -100.40442284505362 20.5937303357984, -100.40507428819443 20.593306426626594, -100.40501485539849 20.59256683367875, -100.4043039876092 20.592251151283655))",0.7628955605676618
8942,8a4983cb1daffff,10,0.055545076529184986,10%_mins,125.2619400024414,0.9784993529319763,Muy bajo,Queretaro,"POLYGON ((-100.34300029470884 20.622785982344883, -100.3423486621465 20.623209596703127, -100.34240773196605 20.62394917609012, -100.3431184424988 20.624265142520393, -100.34377007995266 20.62384152491088, -100.34371100198226 20.62310194412242, -100.34300029470884 20.622785982344883))",0.7621428461869557
22908,8a4983d89d37fff,10,0.05568689564863841,10%_mins,125.81381717571259,0.9828103586339436,Muy bajo,Queretaro,"POLYGON ((-100.43994557151761 20.558153390765156, -100.43929432989668 20.55857746982138, -100.43935395314033 20.55931703554651, -100.44006482614824 20.559632523584025, -100.44071607262433 20.55920844125428, -100.44065644123735 20.558468874160592, -100.43994557151761 20.558153390765156))",0.7620010270675023
23441,8a4983d8dcaffff,10,0.055784181356430054,10%_mins,123.87297011067261,0.9676492016683429,Muy bajo,Queretaro,"POLYGON ((-100.44123856942696 20.540186996368284, -100.44058741997812 20.540611085941492, -100.4406470426387 20.541350617441292, -100.44135782288922 20.54166606073548, -100.44200897719145 20.541241967886467, -100.4419493463898 20.540502435019125, -100.44123856942696 20.540186996368284))",0.7619037413597106
