,hex_id,res,ndmi_diff,ndmi_diff_cat,im_2020,imn_2020,Grado_Marg,city,geometry,ndmi_diff_opossite
25162,8a29a4c291a7fff,10,0.0598883984452587,10%_mins,123.83769961850652,0.9673736643377391,Muy bajo,Tijuana,"POLYGON ((-116.9890455372864 32.50013055113501, -116.98839410890034 32.500622748156836, -116.98856288609562 32.50133700443166, -116.98938309943317 32.50155906054629, -116.99003452621547 32.50106686036478, -116.98986574126411 32.50035260722834, -116.9890455372864 32.50013055113501))",0.5486369052175748
23706,8a29a4c718effff,10,0.0609436825911204,10%_mins,118.02826257970733,0.9219925226747416,Alto,Tijuana,"POLYGON ((-117.04536119819629 32.543430842882046, -117.0447099186771 32.54392322947473, -117.04487907178904 32.5446371638381, -117.04569951216827 32.544858708459856, -117.04635079005685 32.544366318713166, -117.04618162919692 32.543652387498746, -117.04536119819629 32.543430842882046))",0.5475816210717132
12029,8a29a4c0c237fff,10,0.062185234740629036,10%_mins,124.39739323933604,0.9717457933360547,Muy bajo,Tijuana,"POLYGON ((-116.94996934678439 32.533005753215676, -116.9493174573046 32.53349775601896, -116.94948606632839 32.53421199890634, -116.95030657260224 32.53443423586362, -116.95095846049513 32.53394222990312, -116.95078984370114 32.53322799014259, -116.94996934678439 32.533005753215676))",0.5463400689222044
859,8a4859349127fff,10,0.06291877730139371,10%_mins,122.43433838325542,0.9564111447386561,Bajo,Tijuana,"POLYGON ((-116.63146005113178 32.56409976341856, -116.6308057706471 32.564590405686175, -116.63097265224421 32.56530541679619, -116.63179382217879 32.56552978259042, -116.63244810122129 32.56503913716216, -116.63228121177154 32.56432412910036, -116.63146005113178 32.56409976341856))",0.5456065263614398
8720,8a29a4c746dffff,10,0.06309075355529786,10%_mins,119.95427982160216,0.93703784488118,Medio,Tijuana,"POLYGON ((-117.0123265437081 32.52715265658568, -117.01167512478133 32.52764492300642, -117.01184407086248 32.528359012105035, -117.01266444362453 32.52858083164078, -117.01331586093617 32.52808856206363, -117.01314690710103 32.52737447610716, -117.0123265437081 32.52715265658568))",0.5454345501075357
871,8a4859349077fff,10,0.06319344903601974,10%_mins,122.43433838325542,0.9564111447386561,Bajo,Tijuana,"POLYGON ((-116.63344947940337 32.56932911927404, -116.63279518272903 32.569819764380604, -116.63296208306825 32.570534750300034, -116.63378328793482 32.57075908806457, -116.63443758316593 32.570268439797914, -116.63427067497386 32.56955345692686, -116.63344947940337 32.56932911927404))",0.5453318546268138
25196,8a29a4c29c4ffff,10,0.06365384833287385,10%_mins,123.83769961850652,0.9673736643377391,Muy bajo,Tijuana,"POLYGON ((-116.98952817732842 32.49892409149587, -116.98887675919653 32.49941629169947, -116.9890455372864 32.50013055113501, -116.98986574126411 32.50035260722834, -116.99051715779208 32.49986040386496, -116.9903483719464 32.499146147568034, -116.98952817732842 32.49892409149587))",0.5448714553299596
16665,8a29a4c205affff,10,0.06387523979437157,10%_mins,120.98943914802715,0.9451241355030647,Medio,Tijuana,"POLYGON ((-116.90715074980663 32.44581810276461, -116.90649905754644 32.4463100148113, -116.90666730069934 32.44702470427648, -116.90748724388149 32.447247478572606, -116.9081389345767 32.446755563358934, -116.90797068365488 32.44604087701615, -116.90715074980663 32.44581810276461))",0.5446500638684619
22683,8a29a4c293affff,10,0.06540640260352462,10%_mins,123.69598393127836,0.9662666549115447,Bajo,Tijuana,"POLYGON ((-116.99695778802817 32.50762058367053, -116.99630637248552 32.508112805966455, -116.99647520457545 32.50882701182911, -116.99729545996325 32.509048992256076, -116.99794687389833 32.5085567668014, -116.9977780340533 32.50784256407854, -116.99695778802817 32.50762058367053))",0.5431189010593089
866,8a4859349197fff,10,0.06651901592642576,10%_mins,122.43433838325542,0.9564111447386561,Bajo,Tijuana,"POLYGON ((-116.62605874326762 32.567309796173355, -116.62540440716919 32.56780041234992, -116.6255712632772 32.56851542618393, -116.62639246333809 32.568739820794704, -116.62704679799674 32.568249201457704, -116.62687993403435 32.567534190670415, -116.62605874326762 32.567309796173355))",0.5420062877364078
