,avg ndvi_min,avg ndvi_mean,avg ndvi_median,avg ndvi_max,avg ndmi_min,avg ndmi_mean,avg ndmi_median,avg ndmi_max
Azcapotzalco,0.039136777554140086,0.12273905396722277,0.13677474488239824,0.16968041956917948,-0.05152919473873978,-0.01031666870797811,-0.02336731059862799,0.09197037897493913
Benito Juárez,0.06784680271413561,0.1485922860591041,0.17220685413830533,0.19581845707488535,-0.028706509458823932,0.00878919893418865,-0.002245182847801094,0.0981504500638056
Coyoacán,0.10227135149262091,0.20723599280467364,0.2263251917735406,0.272628052208347,-0.022803001035450625,0.023157284429571642,0.012933132606795319,0.12907331939951336
Cuajimalpa de Morelos,0.09184830918938947,0.31220865383136914,0.32940786373513803,0.46282206256313324,0.020873050934711927,0.10572937619073319,0.10234272070365905,0.20413736351862574
Cuauhtémoc,0.0390275730382913,0.12040820393447149,0.13705687919821175,0.16325426937105958,-0.049666509572734066,-0.0128991677694157,-0.024456389656287394,0.08808107671627828
Gustavo A. Madero,0.03519649580786974,0.14172297441281648,0.146599186553881,0.22501929821874334,-0.06782876696253172,-0.008826447669042666,-0.022878989910986528,0.12160864000492654
Iztacalco,0.03350528578964063,0.10728338731255409,0.12039409672075357,0.14747191122008374,-0.061088067973869835,-0.023798555565084888,-0.035477647051474125,0.08180186141186753
Iztapalapa,0.042493648661225236,0.1171753905062885,0.12242932825045648,0.17645848629611768,-0.07487501105828086,-0.027110863277108273,-0.040884161965064295,0.09052872837450769
La Magdalena Contreras,0.12773487694421173,0.2621185957952967,0.2836915452374722,0.3432253627317286,-0.00635026364367528,0.051320464927519044,0.040672090143070834,0.15509677153346738
Miguel Hidalgo,0.10825881494625572,0.23383207409753232,0.25695523765179223,0.3158949111735144,-0.004890205380080407,0.04602207433255382,0.03887781497698099,0.13352711621647678
Milpa Alta,0.10109579317795825,0.2954890993713102,0.2831759927878839,0.4971719999788363,-0.07665676370034948,0.043010771630904665,0.03561551309808469,0.19437520620227489
Tlalpan,0.12130383190428522,0.28930075558884627,0.2974740297377497,0.42305591300186374,-0.03686890945715293,0.05332913936982385,0.044261847780360714,0.18490128676116804
Tláhuac,0.09743675064684763,0.2236502005089394,0.20922712676868102,0.36425025480481765,-0.09569856601251207,-0.0008227349007590911,-0.019827223238492158,0.15327888447446822
Venustiano Carranza,0.032994534318305714,0.10982822357253587,0.11727235968328743,0.16147895906143656,-0.06262052535108066,-0.02046336151997586,-0.03274162819973163,0.0904398384508827
Xochimilco,0.14612949105246892,0.3019091336996824,0.29469177905881505,0.44894006817951004,-0.05370604049640016,0.047329285595072663,0.038534843827767715,0.1868968541764223
Álvaro Obregón,0.10402953385540631,0.24236980679737896,0.2615882349503778,0.3302121173682779,-0.014096565120019434,0.044578737125244725,0.03538075801384696,0.13880547640088556
Todos los hex,0.08553745192275101,0.21270370038827877,0.2200279793416605,0.31330178418016263,-0.04719334562437038,0.02146769890980114,0.010590521937480335,0.14090893153849043
