,hex_id,res,ndmi_diff,ndmi_diff_cat,im_2020,imn_2020,Grado_Marg,city,geometry,ndmi_diff_opossite
49065,8a4995bac88ffff,10,0.06014630794525144,10%_mins,124.64687883480765,0.9736946880119849,Muy bajo,ZMVM,"POLYGON ((-99.21298683640929 19.421673952875217, -99.2123408241212 19.422092672394943, -99.21239259999108 19.422828063533625, -99.213090396131 19.423144736867414, -99.2137364135719 19.422726014132515, -99.21368462972009 19.421990621279036, -99.21298683640929 19.421673952875217))",0.6743708206435381
49028,8a4995bac2c7fff,10,0.06439242928715075,10%_mins,125.78213030422691,0.9825628306895687,Muy bajo,ZMVM,"POLYGON ((-99.21616800205129 19.43806768537297, -99.21552190790881 19.438486416442657, -99.21557370938068 19.439221853497084, -99.21627161297907 19.439538561196304, -99.21691771227472 19.439119826912858, -99.2168659028188 19.438384388143994, -99.21616800205129 19.43806768537297))",0.6701246993016389
49514,8a4995bac127fff,10,0.0685086949666341,10%_mins,125.2160527459462,0.978140849464329,Muy bajo,ZMVM,"POLYGON ((-99.21239259999108 19.422828063533625, -99.21174658179132 19.423246780159314, -99.2117983545784 19.423982173333695, -99.21249615354729 19.424298851597463, -99.21314217690012 19.423880131756828, -99.213090396131 19.423144736867414, -99.21239259999108 19.422828063533625))",0.6660084336221554
37818,8a4995846b5ffff,10,0.06901489257812493,10%_mins,123.92192240638072,0.9680315973187255,Muy bajo,ZMVM,"POLYGON ((-99.15621233417824 19.276323912698636, -99.15556704241581 19.27674239861815, -99.1556184211728 19.277477334949143, -99.15631509965478 19.277793787087617, -99.15696039657563 19.277375297945035, -99.1569090098561 19.276640359887093, -99.15621233417824 19.276323912698636))",0.6655022360106646
2621,8a4995858b9ffff,10,0.06985111559851695,10%_mins,123.901946986983,0.9678755446354741,Muy bajo,ZMVM,"POLYGON ((-99.1408536378071 19.34620841219822, -99.14020799265622 19.34662681778172, -99.14025930770931 19.347361910927685, -99.14095627588411 19.347678600224622, -99.14160192620372 19.34726019142861, -99.1415506031798 19.346525096548213, -99.1408536378071 19.34620841219822))",0.6646660129902726
49070,8a4995bac8d7fff,10,0.07068914801387463,10%_mins,124.64687883480765,0.9736946880119849,Muy bajo,ZMVM,"POLYGON ((-99.2137364135719 19.422726014132515, -99.213090396131 19.423144736867414, -99.21314217690012 19.423880131756828, -99.21383998309229 19.424196805626018, -99.21448600568588 19.42377807967595, -99.21443421693465 19.423042683071916, -99.2137364135719 19.422726014132515))",0.663827980574915
49033,8a4995bac2d7fff,10,0.07080694039662677,10%_mins,125.78213030422691,0.9825628306895687,Muy bajo,ZMVM,"POLYGON ((-99.21482401436461 19.438169709272692, -99.2141779194618 19.438588434228805, -99.21422971294965 19.43932386956837, -99.2149276093243 19.439640581666733, -99.21557370938068 19.439221853497084, -99.21552190790881 19.438486416442657, -99.21482401436461 19.438169709272692))",0.6637101881921628
49087,8a4995bac887fff,10,0.07106441895167033,10%_mins,124.64687883480765,0.9736946880119849,Muy bajo,ZMVM,"POLYGON ((-99.21223727419785 19.420621895905285, -99.21159126706272 19.42104061220984, -99.2116430380335 19.42177599959715, -99.2123408241212 19.422092672394943, -99.21298683640929 19.421673952875217, -99.21293505745672 19.420938563772907, -99.21223727419785 19.420621895905285))",0.6634527096371192
47496,8a4995baca1ffff,10,0.07182018995285036,10%_mins,123.74755401903008,0.9666694916082045,Muy bajo,ZMVM,"POLYGON ((-99.22017232224594 19.42778222755403, -99.21952628056704 19.42820097858478, -99.21957810180072 19.42893639564547, -99.22027597269616 19.429253063388263, -99.22092201952618 19.428834309141923, -99.22087019030964 19.42809889036843, -99.22017232224594 19.42778222755403))",0.6626969386359393
35734,8a4995840c17fff,10,0.07210621130271039,10%_mins,122.68362229850267,0.9583584691961965,Bajo,ZMVM,"POLYGON ((-99.15742290406456 19.283989829372217, -99.15677757401139 19.284408319632057, -99.15682896305246 19.285143277566032, -99.1575256901102 19.285459746967057, -99.15817102532206 19.285041253484838, -99.1581196283175 19.28430629382401, -99.15742290406456 19.283989829372217))",0.6624109172860793
